Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Nop56p-associated pre-rRNA complex,0.9204502814258941,3.6502956452965307,0.0,0.0,0.0,100/100,11.28%,HNRNPU;U2AF1;DHX9;U2AF2;FBL;NCL;RPL6;NPM1;ILF3;HNRNPM;RPL8;RPL4;ILF2;HNRNPA1;RPL30;RPS13;TOP1;RPL13A;RPL7A;RPL14;RPL13;RPL18A;RPL19;RPL21;RPL15;RPL7;RPL10A;DDX21;RPS6;RPS8;RPL3;RPLP0;RPL10;RPL26;RPS9;RPL18;RPS11;EEF1A1;RSL1D1;EBNA1BP2;NOP56;RBM28;MYBBP1A;NOP58;RPL11;YBX1;SRPK1;RPL27;RPLP2;RPL28;RPL32;RPL12;RPLP1;RPL36;RPL35A;RPL37A;TUBB1;TUBA1A;RPS14;RPS15;RPS12;RPS24;RPS3A;RPS29;RPS23;RPL23;RPS2;RPL29;RPL31;RPL27A;RPS18;RPS17;RPL5;RPL23A;RPL24;RPL9;RPL36A;RPL39;RPL22;RPS15A;RPL17;RPL35;RPS16;RPS7;ACTA2;LUC7L2;LYAR;NAP1L1;SRP14;TCOF1;GNL3;SLC25A5;SCYL2;PWP1;NOLC1;ACTG2;BRIX1;IGF2BP1;TUFM;EEF2
prerank,"28S ribosomal subunit, mitochondrial",-0.8380847953216374,-3.541298205954779,0.0,0.0,0.0,29/29,17.11%,DAP3;MRPS10;MRPS11;MRPS14;MRPS15;MRPS31;MRPS18A;MRPS21;MRPS18C;MRPS23;MRPS34;MRPS27;MRPS26;MRPS9;MRPS12;MRPS16;MRPS35;MRPS5;MRPS24;MRPS6;MRPS28;MRPS22;MRPS33;MRPS17;MRPS18B;MRPS30;MRPS2;MRPS25;MRPS7
prerank,C complex spliceosome,0.8895089285714288,3.4336260762208255,0.0,0.0,0.0,77/77,13.53%,HNRNPU;U2AF1;SNRPD1;EFTUD2;DDX5;DHX38;CDC5L;SNRPD3;SNRPD2;SF3B3;PABPC1;SNRPB;SF3B1;SF3B2;PRPF8;SNRPA1;SRSF1;SNW1;SRRM1;SNRPB2;HNRNPM;PLRG1;CWC15;PRPF19;LSM2;SF3A1;DDX23;SNRNP200;HNRNPA1;SNRPE;SNRPG;SNRPF;HNRNPC;RBM8A;SF3A2;SF3A3;MAGOH;EIF4A3;ALYREF;LSM3;SLU7;PRPF6;RBM22;PPIL3;PPWD1;CDC40;ISY1;DHX8;XAB2;SNRNP40;DDX41;SART1;CACTIN;CWC22;CRNKL1;AQR;SRRM2;PPIL1;TFIP11;SYF2;PPIE;HNRNPK;RBMX;HNRNPR;HNRNPH1;RALY;SYNCRIP;HNRNPF;HNRNPA2B1;ZCCHC8;GPATCH1;HNRNPA3;CWC27;FRG1;PNN;DHX35;WDR83
prerank,"Spliceosome, A complex",0.8243853094546775,3.27127794887027,0.0,0.0,0.0,82/96,8.50%,HNRNPU;U2AF1;DHX9;U2AF2;SNRPD1;EFTUD2;HSPA8;DDX5;DHX15;CDC5L;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B1;SF3B2;SRRT;PRPF8;SNRPA1;SRSF1;ILF3;SRRM1;SNRPB2;PLRG1;CWC15;PRPF19;SF3B4;ILF2;SF3A1;DDX23;SNRNP200;SNRPA;HNRNPA1;SNRPE;SNRPG;SNRPF;BCAS2;SRSF2;HTATSF1;HNRNPC;SF3A2;SF3A3;DDX17;PRPF6;SART1;SRRM2;HNRNPK;SF3B6;RNPS1;YBX1;PUF60;RBM17;DNAJC8;DDX46;SMNDC1;U2SURP;ACIN1;SRSF7;NCBP1;NCBP2;SRSF4;SRSF5;SRSF6;SRSF3;SNRPC;SRSF9;ZNF207;WBP11;TRA2B;PRPF3;SF1;CTNNBL1;PRPF40A;RBM39;RBM25;CD2BP2;CFAP20;CIRBP;SNRNP70;TCERG1;RBMX;HNRNPR
prerank,"Spliceosome, C complex",0.9213681792846375,3.2223561371101233,0.0,0.0,0.0,35/36,7.12%,SNRPD1;EFTUD2;DHX38;CDC5L;SNRPD3;SNRPD2;SNRPB;PRPF8;SNRPA1;SNW1;SNRPB2;PLRG1;CWC15;PRPF19;SNRNP200;SNRPE;SNRPG;SNRPF;BCAS2;RBM8A;MAGOH;EIF4A3;RBM22;PPWD1;CDC40;ISY1;XAB2;CWC22;CRNKL1;AQR;SRRM2;PPIL1;SYF2;PPIE;BUD31
prerank,"Spliceosome, B complex",0.8629237061138998,3.0541668105150444,0.0,0.0,0.0,35/38,8.32%,SNRPD1;EFTUD2;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B1;SF3B2;PRPF8;SNRPA1;SNRPB2;LSM2;SF3B4;SF3A1;SNRNP200;PRPF31;SNRPE;SNRPG;SNRPF;SF3A2;SF3A3;LSM3;PRPF6;SNRNP40;SART1;SF3B6;LSM7;LSM4;LSM6;TXNL4A;MFAP1;PRPF3;SMU1;PPIH;PRPF4
prerank,CEN complex,0.8798534798534802,3.0482520418998673,0.0,0.0,0.0,35/35,13.13%,FBL;HSPA8;DHX38;HSPA5;WTAP;SRRT;SMARCA5;SUPT16H;RNF2;DDB1;RING1;CUL4A;SSRP1;BMI1;CBX8;CENPO;CENPK;CENPC;CENPH;CENPL;CENPU;CENPM;RSF1;CENPB;CENPI;WDR11;ZFP91;KIF23;SHCBP1;NUP93;CENPA;COBLL1;RACGAP1;ZC3H13;CBX3
prerank,"Spliceosome, E complex",0.7489785266994666,3.02237768256124,0.0,0.0,0.0,101/114,18.88%,HNRNPU;U2AF1;DHX9;U2AF2;SNRPD1;EFTUD2;DDX5;DHX15;SNRPD3;SNRPD2;SF3B3;SMARCC1;SMARCC2;SNRPB;SF3B1;SF3B2;SRRT;PRPF8;SNRPA1;SRSF1;SMARCB1;SNRPB2;HNRNPM;CPSF6;NUDT21;PRPF19;SF3B4;SF3A1;DDX23;SNRNP200;SNRPA;HNRNPA1;SMARCA4;PRPF31;SNRPE;SNRPG;SNRPF;BCAS2;SRSF2;HTATSF1;ACTL6A;HNRNPC;SMARCA2;SF3A2;SF3A3;ALYREF;DDX17;PRPF6;SNRNP40;SART1;SRRM2;HNRNPK;SF3B6;YBX1;PUF60;RBM17;DNAJC8;DDX46;U2SURP;SRSF7;NCBP1;NCBP2;DDX39B;SRSF4;SRSF5;SRSF6;LSM4;SMARCE1;SRSF3;SNRPC;USP39;SRSF11;PRPF3;SF1;PRPF40A;LUC7L3;RBM39;RBM25;PPIH;PRPF4;SNRNP70;HNRNPR;HNRNPH1;LUC7L2;RUVBL1;SYNCRIP;HNRNPF;HNRNPA2B1;ZCCHC8;CHD4;ARID1A;GEMIN4;GEMIN2;DDX20;DDX39A;HNRNPL;SMARCD1;RUVBL2;FUS;PHF5A;CHERP
prerank,"60S ribosomal subunit, cytoplasmic",0.8256501844591757,3.011821179723693,0.0,0.0,0.0,42/47,10.02%,RPL6;RPL8;RPL4;RPL30;RPL13A;RPL7A;RPL14;RPL13;RPL18A;RPL19;RPL21;RPL15;RPL7;RPL10A;RPL3;RPLP0;RPL10;RPL26;RPL18;RPL11;RPL27;RPLP2;RPL28;RPL32;RPL12;RPLP1;RPL36;RPL35A;RPL37A;RPL23;RPL29;RPL31;RPL27A;RPL5;RPL23A;RPL24;RPL9;RPL36A;RPL39;RPL22;RPL17;RPL35
prerank,"Spliceosome, pre-B complex",0.8368507226345426,2.9473282306258706,0.0,0.0,0.0,33/37,8.32%,SNRPD1;EFTUD2;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B1;SF3B2;PRPF8;SNRPA1;SNRPB2;LSM2;SF3B4;SF3A1;DDX23;SNRNP200;PRPF31;SNRPE;SNRPG;SNRPF;SF3A2;SF3A3;LSM3;PRPF6;SNRNP40;SF3B6;LSM7;LSM4;LSM6;USP39;TXNL4A;PRPF3;PRPF4
